MNTH,CIRCLE,DIVNAME,SDNAME,SECNAME,AREANAME,CAT,CATDESC,TOTSERVICES,BILLDSRVS,UNITS,LOAD
2019-06-30,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADEENAGUDA,5,AGRICULTURAL,1,1.0,2034.0,9
2019-06-30,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET A,5,AGRICULTURAL,1,1.0,0.0,5.63
2019-06-30,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET(WEST),5,AGRICULTURAL,1,1.0,14242.0,2.8
2019-06-30,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,,5,AGRICULTURAL,11,,0.0,39.75
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,BTNGOS G H SOCIETY,5,AGRICULTURAL,1,1.0,0.0,3.75
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,G LAMBADI TANDA,5,AGRICULTURAL,3,3.0,0.0,11.25
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,G.LAMBADI NAGAR,5,AGRICULTURAL,5,3.0,355.0,18.75
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GACHI BOWLI,5,AGRICULTURAL,6,5.0,1894.0,33.75
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOPAN PALLY,5,AGRICULTURAL,21,9.0,350.0,81
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOPANPALLY,5,AGRICULTURAL,7,7.0,30.0,26.25
2019-06-30,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOWLI DODDI,5,AGRICULTURAL,2,1.0,0.0,7.5
