MNTH,CIRCLE,DIVNAME,SDNAME,SECNAME,AREANAME,CAT,CATDESC,TOTSERVICES,BILLDSRVS,UNITS,LOAD
2019-06-30,cybercity,gachibowli,chanda nagar,chanda nagar,madeenaguda,5,agricultural,1,1.0,2034.0,9.0
2019-06-30,cybercity,gachibowli,chanda nagar,chanda nagar,new hafeezpet a,5,agricultural,1,1.0,0.0,5.63
2019-06-30,cybercity,gachibowli,chanda nagar,chanda nagar,new hafeezpet(west),5,agricultural,1,1.0,14242.0,2.8
2019-06-30,cybercity,gachibowli,chanda nagar,chanda nagar,kothapally,5,agricultural,11,107.0,0.0,39.75
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,btngos g h society,5,agricultural,1,1.0,0.0,3.75
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,g lambadi tanda,5,agricultural,3,3.0,0.0,11.25
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,g.lambadi nagar,5,agricultural,5,3.0,355.0,18.75
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,gachi bowli,5,agricultural,6,5.0,1894.0,33.75
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,gopan pally,5,agricultural,21,9.0,350.0,81.0
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,gopanpally,5,agricultural,7,7.0,30.0,26.25
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,gowli doddi,5,agricultural,2,1.0,0.0,7.5
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,gowlidoddi,5,agricultural,2,2.0,0.0,6.0
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,khaja guda,5,agricultural,18,5.0,1284.0,60.0
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,lingampally,5,agricultural,5,107.0,0.0,19.13
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,nallagandla,5,agricultural,18,107.0,0.0,61.5
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,nanakram guda,5,agricultural,15,7.0,450.0,53.63
2019-06-30,cybercity,gachibowli,gachibowli,gachibowli,nanakramguda,5,agricultural,2,2.0,0.0,7.5
