circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
banjara hills,green lands,greenlands,begumpet,allamthotabai,general purpose,7,1,1.0,1601.0,3.0
banjara hills,green lands,greenlands,begumpet,allauddin buildings,general purpose,7,1,1.0,64.0,1.0
banjara hills,green lands,greenlands,begumpet,b.pet railway station,general purpose,7,4,4.0,691.0,12.0
banjara hills,green lands,greenlands,begumpet,begumpet basthi,general purpose,7,10,3.0,845.0,36.36
banjara hills,green lands,greenlands,begumpet,brahmanwadi,general purpose,7,4,4.0,400.0,10.44
banjara hills,green lands,greenlands,begumpet,chikoti garden,general purpose,7,3,3.0,1222.0,11.0
banjara hills,green lands,greenlands,begumpet,dwaraka dass colony,general purpose,7,3,3.0,131.0,8.5
banjara hills,green lands,greenlands,begumpet,"grc - p.gadda, p.nagar",general purpose,7,1,1.0,409.0,23.0
banjara hills,green lands,greenlands,begumpet,grc. c. garden & b.wadi,general purpose,7,4,4.0,6086.0,142.0
banjara hills,green lands,greenlands,begumpet,grc. shyamlal,general purpose,7,7,1.0,1684.0,176.0
banjara hills,green lands,greenlands,begumpet,i.a.l.colony,general purpose,7,1,1.0,831.0,5.0
banjara hills,green lands,greenlands,begumpet,mothilal nagar bha.pur,general purpose,7,2,2.0,479.0,4.0
banjara hills,green lands,greenlands,begumpet,p. nagar colony,general purpose,7,1,2.0,0.0,1.0
banjara hills,green lands,greenlands,begumpet,p. nagar extension,general purpose,7,2,2.0,1687.0,6.0
banjara hills,green lands,greenlands,begumpet,patigadda extn,general purpose,7,4,4.0,514.0,11.26
banjara hills,green lands,greenlands,begumpet,prakash nagar right,general purpose,7,2,2.0,496.0,20.0
banjara hills,green lands,greenlands,begumpet,shamlal buildings,general purpose,7,1,1.0,0.0,1.0
banjara hills,green lands,greenlands,begumpet,shyam sidartha slam,general purpose,7,1,1.0,309.0,5.0
banjara hills,green lands,greenlands,begumpet,tata chary cly,general purpose,7,2,2.0,121.0,5.3
banjara hills,green lands,greenlands,begumpet,vikar nagar,general purpose,7,2,1.0,321.0,0.68
banjara hills,green lands,greenlands,greenlands,ameerpet durganagar,general purpose,7,2,2.0,117.0,6.0
banjara hills,green lands,greenlands,greenlands,b s maktha ii{mysamma temple},general purpose,7,2,2.0,774.0,6.0
banjara hills,green lands,greenlands,greenlands,b.s.maktha,general purpose,7,1,1.0,8.0,2.0
banjara hills,green lands,greenlands,greenlands,b.s.maktha(masjid),general purpose,7,1,1.0,369.0,1.0
banjara hills,green lands,greenlands,greenlands,durga nagar,general purpose,7,2,2.0,56.0,2.0
banjara hills,green lands,greenlands,greenlands,grc hv greenlands,general purpose,7,2,2.0,1234.0,53.0
banjara hills,green lands,greenlands,greenlands,grc hv somajiguda,general purpose,7,5,5.0,7593.0,65.0
banjara hills,green lands,greenlands,greenlands,greenland west,general purpose,7,1,2.0,0.0,6.0
banjara hills,green lands,greenlands,greenlands,hussain nagar,general purpose,7,4,4.0,424.0,7.5
banjara hills,green lands,greenlands,greenlands,kundanbagh,general purpose,7,3,1.0,565.0,2.0
banjara hills,green lands,greenlands,greenlands,methodist colony,general purpose,7,1,1.0,793.0,5.0
banjara hills,green lands,greenlands,greenlands,p.j.colony,general purpose,7,3,2.0,172.0,6.65
banjara hills,green lands,greenlands,greenlands,pochamma basti,general purpose,7,1,1.0,55.0,1.0
banjara hills,green lands,greenlands,greenlands,somajiguda (ext.),general purpose,7,1,1.0,502.0,5.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,scientific colony,general purpose,7,2,1.0,10.0,0.64
banjara hills,green lands,greenlands,sanjeev reddy nagar,shiva bagh,general purpose,7,2,2.0,150.0,2.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,sona bai temple,general purpose,7,2,2.0,330.0,6.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,sriram nagar,general purpose,7,5,5.0,21.0,15.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,sundernagar model colony,general purpose,7,1,1.0,251.0,5.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,trafic signals&cameras,general purpose,7,1,1.0,0.0,1.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,yadagiri nagar,general purpose,7,1,1.0,216.0,5.0
banjara hills,banjara hills,ameerpet,yella reddy guda,ali nagar&sarathi studio,general purpose,7,1,1.0,383.0,5.0
banjara hills,banjara hills,ameerpet,yella reddy guda,ameerpet,general purpose,7,5,5.0,525.0,21.0
banjara hills,banjara hills,ameerpet,yella reddy guda,grc high values,general purpose,7,1,2.0,0.0,1.0
banjara hills,banjara hills,ameerpet,yella reddy guda,grc- non - c.t.  meters,general purpose,7,3,3.0,1131.0,20.0
banjara hills,banjara hills,ameerpet,yella reddy guda,jawahar nagar&indira nagar,general purpose,7,1,1.0,282.0,1.0
banjara hills,banjara hills,ameerpet,yella reddy guda,jp nagar & engineers colony,general purpose,7,4,3.0,192.0,16.0
banjara hills,banjara hills,ameerpet,yella reddy guda,kamalapuri colony,general purpose,7,1,1.0,152.0,3.0
banjara hills,banjara hills,ameerpet,yella reddy guda,nagarjuna nagar,general purpose,7,1,2.0,0.0,0.24
banjara hills,banjara hills,ameerpet,yella reddy guda,old yellareddyguda,general purpose,7,1,1.0,397.0,3.0
banjara hills,banjara hills,ameerpet,yella reddy guda,shalivahana sbh navodaya,general purpose,7,3,3.0,310.0,11.0
banjara hills,banjara hills,ameerpet,yella reddy guda,skd nagar,general purpose,7,1,1.0,193.0,1.0
banjara hills,banjara hills,ameerpet,yella reddy guda,srinagar apartment,general purpose,7,4,4.0,154.0,20.0
banjara hills,banjara hills,ameerpet,yella reddy guda,srinagar keshavnagar,general purpose,7,11,11.0,3023.0,45.0
banjara hills,banjara hills,ameerpet,yella reddy guda,street lights,general purpose,7,3,1.0,301.0,13.0
banjara hills,banjara hills,ameerpet,yella reddy guda,upper basti,general purpose,7,4,4.0,1043.0,4.0
banjara hills,banjara hills,ameerpet,yella reddy guda,wb. waddar basthi,general purpose,7,4,3.0,669.0,10.0
banjara hills,banjara hills,ameerpet,yousufguda,gayatri hills,general purpose,7,1,1.0,373.0,5.0
banjara hills,banjara hills,ameerpet,yousufguda,grc high values,general purpose,7,5,5.0,4701.0,63.0
banjara hills,banjara hills,ameerpet,yousufguda,laxmi narsimha nagar-2,general purpose,7,1,2.0,0.0,1.0
banjara hills,banjara hills,ameerpet,yousufguda,ln nagar mazidh,general purpose,7,2,2.0,376.0,3.0
banjara hills,banjara hills,ameerpet,yousufguda,pragathinagar-1,general purpose,7,6,6.0,2549.0,22.0
banjara hills,banjara hills,ameerpet,yousufguda,rahamathnagar-1,general purpose,7,2,2.0,760.0,2.0
banjara hills,banjara hills,ameerpet,yousufguda,rahmanthnagar (north),general purpose,7,2,2.0,152.0,6.0
banjara hills,banjara hills,ameerpet,yousufguda,s k nagar a-block,general purpose,7,3,2.0,1096.0,11.0
banjara hills,banjara hills,ameerpet,yousufguda,s.k.nagar & barrela pt,general purpose,7,2,2.0,1119.0,6.0
banjara hills,banjara hills,ameerpet,yousufguda,venkatagiri,general purpose,7,2,2.0,0.0,1.25
banjara hills,banjara hills,ameerpet,yousufguda,venkatagiri-2,general purpose,7,2,2.0,350.0,6.0
banjara hills,banjara hills,ameerpet,yousufguda,yousuf guda basti,general purpose,7,1,1.0,101.0,1.0
banjara hills,banjara hills,banjara hills,banjara hills,"ibrahim,noor,gurubrahma nager",general purpose,7,2,2.0,536.0,5.2
banjara hills,banjara hills,banjara hills,banjara hills,dk basti masjid,general purpose,7,2,2.0,954.0,6.0
banjara hills,banjara hills,banjara hills,banjara hills,gowri shanker colony,general purpose,7,2,1.0,270.0,1.25
banjara hills,banjara hills,banjara hills,banjara hills,grc road no 2 and 3,general purpose,7,3,3.0,3144.0,147.0
banjara hills,banjara hills,banjara hills,banjara hills,"grc road no 7,8,9,10 and 11",general purpose,7,4,3.0,981.0,12.0
banjara hills,banjara hills,banjara hills,banjara hills,"grc road no1,4,5,6,and14",general purpose,7,2,2.0,2786.0,55.0
banjara hills,banjara hills,banjara hills,banjara hills,"journalist novodaya,u.b.colony",general purpose,7,1,1.0,21.0,1.0
banjara hills,banjara hills,banjara hills,banjara hills,kcr house & nandi nagar,general purpose,7,5,5.0,337.0,8.2
banjara hills,banjara hills,banjara hills,banjara hills,nagarjuna hills and panjagutta,general purpose,7,3,3.0,2388.0,99.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,grc high values,general purpose,7,7,7.0,17510.0,82.5
banjara hills,banjara hills,ameerpet,sri krishna nagar,jawahar nagar saibaba tempel,general purpose,7,5,5.0,1300.0,17.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,jawaharnagar,general purpose,7,1,1.0,62.0,1.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,kalyan nagar apartment,general purpose,7,1,1.0,472.0,3.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,madhranagar a  c,general purpose,7,1,1.0,226.0,4.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,"madhura nagar(b,d,h)",general purpose,7,2,2.0,332.0,9.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,rahamath nagar church,general purpose,7,1,1.0,323.0,1.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,rahmathnagar(south),general purpose,7,4,4.0,3344.0,16.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,sidhartha nagar,general purpose,7,6,6.0,609.0,10.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,vengalarao nagar a b c,general purpose,7,7,7.0,954.0,15.0
banjara hills,banjara hills,ameerpet,sri krishna nagar,vikaspuri & lakshiminagar,general purpose,7,4,3.0,565.0,12.0
banjara hills,green lands,greenlands,greenlands,somajiguda apts-i,general purpose,7,2,2.0,909.0,8.0
banjara hills,green lands,greenlands,greenlands,umanagar,general purpose,7,1,1.0,1460.0,1.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,ameerpet main road,general purpose,7,2,2.0,1717.0,8.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,anand bagh,general purpose,7,1,1.0,350.0,5.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,b.k.guda dasaram basti,general purpose,7,1,1.0,120.0,1.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,balkampet east,general purpose,7,2,2.0,478.0,2.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,balkampet west,general purpose,7,1,1.0,230.0,1.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,bapu nagar north,general purpose,7,1,1.0,23.0,1.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,bapu nagar south,general purpose,7,2,2.0,298.0,1.5
banjara hills,green lands,greenlands,sanjeev reddy nagar,c-type quarters,general purpose,7,1,1.0,741.0,5.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,ct meters,general purpose,7,1,1.0,5889.0,39.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,esi quarters,general purpose,7,2,2.0,427.0,10.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,grc hv s r nagar,general purpose,7,1,1.0,432.0,1.0
banjara hills,green lands,greenlands,sanjeev reddy nagar,high value ameerpet,general purpose,7,2,1.0,3435.0,10.0
