circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTABAI,GENERAL PURPOSE,7,1,1.0,1601.0,3.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAUDDIN BUILDINGS,GENERAL PURPOSE,7,1,1.0,64.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,B.PET RAILWAY STATION,GENERAL PURPOSE,7,4,4.0,691.0,12.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BEGUMPET BASTHI,GENERAL PURPOSE,7,10,3.0,845.0,36.36
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,BRAHMANWADI,GENERAL PURPOSE,7,4,4.0,400.0,10.44
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,CHIKOTI GARDEN,GENERAL PURPOSE,7,3,3.0,1222.0,11.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,DWARAKA DASS COLONY,GENERAL PURPOSE,7,3,3.0,131.0,8.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",GENERAL PURPOSE,7,1,1.0,409.0,23.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,GENERAL PURPOSE,7,4,4.0,6086.0,142.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,GENERAL PURPOSE,7,7,1.0,1684.0,176.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,I.A.L.COLONY,GENERAL PURPOSE,7,1,1.0,831.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,MOTHILAL NAGAR BHA.PUR,GENERAL PURPOSE,7,2,2.0,479.0,4.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,GENERAL PURPOSE,7,2,2.0,1687.0,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,GENERAL PURPOSE,7,4,4.0,514.0,11.26
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,GENERAL PURPOSE,7,2,2.0,496.0,20.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,GENERAL PURPOSE,7,1,1.0,0.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHYAM SIDARTHA SLAM,GENERAL PURPOSE,7,1,1.0,309.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TATA CHARY CLY,GENERAL PURPOSE,7,2,2.0,121.0,5.3
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,VIKAR NAGAR,GENERAL PURPOSE,7,2,1.0,321.0,0.68
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,AMEERPET DURGANAGAR,GENERAL PURPOSE,7,2,2.0,117.0,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B S MAKTHA II{MYSAMMA TEMPLE},GENERAL PURPOSE,7,2,2.0,774.0,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA,GENERAL PURPOSE,7,1,1.0,8.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,B.S.MAKTHA(MASJID),GENERAL PURPOSE,7,1,1.0,369.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,DURGA NAGAR,GENERAL PURPOSE,7,2,2.0,56.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,GENERAL PURPOSE,7,2,2.0,1234.0,53.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,GENERAL PURPOSE,7,5,5.0,7593.0,65.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND WEST,GENERAL PURPOSE,7,1,,0.0,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,HUSSAIN NAGAR,GENERAL PURPOSE,7,4,4.0,424.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,GENERAL PURPOSE,7,3,1.0,565.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY,GENERAL PURPOSE,7,1,1.0,793.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY,GENERAL PURPOSE,7,3,2.0,172.0,6.65
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,POCHAMMA BASTI,GENERAL PURPOSE,7,1,1.0,55.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA (EXT.),GENERAL PURPOSE,7,1,1.0,502.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SCIENTIFIC COLONY,GENERAL PURPOSE,7,2,1.0,10.0,0.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SHIVA BAGH,GENERAL PURPOSE,7,2,2.0,150.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SONA BAI TEMPLE,GENERAL PURPOSE,7,2,2.0,330.0,6.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SRIRAM NAGAR,GENERAL PURPOSE,7,5,5.0,21.0,15.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SUNDERNAGAR MODEL COLONY,GENERAL PURPOSE,7,1,1.0,251.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,TRAFIC SIGNALS&CAMERAS,GENERAL PURPOSE,7,1,1.0,0.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,YADAGIRI NAGAR,GENERAL PURPOSE,7,1,1.0,216.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,ALI NAGAR&SARATHI STUDIO,GENERAL PURPOSE,7,1,1.0,383.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,AMEERPET,GENERAL PURPOSE,7,5,5.0,525.0,21.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC- NON - C.T.  METERS,GENERAL PURPOSE,7,3,3.0,1131.0,20.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,JAWAHAR NAGAR&INDIRA NAGAR,GENERAL PURPOSE,7,1,1.0,282.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,JP NAGAR & ENGINEERS COLONY,GENERAL PURPOSE,7,4,3.0,192.0,16.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,KAMALAPURI COLONY,GENERAL PURPOSE,7,1,1.0,152.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,NAGARJUNA NAGAR,GENERAL PURPOSE,7,1,,0.0,0.24
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,OLD YELLAREDDYGUDA,GENERAL PURPOSE,7,1,1.0,397.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SHALIVAHANA SBH NAVODAYA,GENERAL PURPOSE,7,3,3.0,310.0,11.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SKD NAGAR,GENERAL PURPOSE,7,1,1.0,193.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR APARTMENT,GENERAL PURPOSE,7,4,4.0,154.0,20.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR KESHAVNAGAR,GENERAL PURPOSE,7,11,11.0,3023.0,45.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,GENERAL PURPOSE,7,3,1.0,301.0,13.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,UPPER BASTI,GENERAL PURPOSE,7,4,4.0,1043.0,4.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,WB. WADDAR BASTHI,GENERAL PURPOSE,7,4,3.0,669.0,10.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GAYATRI HILLS,GENERAL PURPOSE,7,1,1.0,373.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,GENERAL PURPOSE,7,5,5.0,4701.0,63.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LAXMI NARSIMHA NAGAR-2,GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LN NAGAR MAZIDH,GENERAL PURPOSE,7,2,2.0,376.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,GENERAL PURPOSE,7,6,6.0,2549.0,22.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHAMATHNAGAR-1,GENERAL PURPOSE,7,2,2.0,760.0,2.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHMANTHNAGAR (NORTH),GENERAL PURPOSE,7,2,2.0,152.0,6.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S K NAGAR A-BLOCK,GENERAL PURPOSE,7,3,2.0,1096.0,11.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S.K.NAGAR & BARRELA PT,GENERAL PURPOSE,7,2,2.0,1119.0,6.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI,GENERAL PURPOSE,7,2,,0.0,1.25
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI-2,GENERAL PURPOSE,7,2,2.0,350.0,6.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,YOUSUF GUDA BASTI,GENERAL PURPOSE,7,1,1.0,101.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS," IBRAHIM,NOOR,GURUBRAHMA NAGER",GENERAL PURPOSE,7,2,2.0,536.0,5.2
